Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Mouse_ID,Organism,Platform,ReleaseDate,Sample Name,SampleID,source_name,SRA Study,Strain,Tissue,Treatment
SRR8809627,RNA-Seq,51,923006262,PRJNA529794,SAMN11284689,572209053,dVenus-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598340,GSM3690872,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 13,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690872,I15-1392-10,"Fear Conditioned\, dVenus-",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,Fear Conditioned
SRR8809628,RNA-Seq,51,1220287812,PRJNA529794,SAMN11284688,755415906,dVenus-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598341,GSM3690873,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 14,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690873,I15-1392-11,"Fear Conditioned\, dVenus-",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,Fear Conditioned
SRR8809629,RNA-Seq,51,1362300219,PRJNA529794,SAMN11284687,844892920,dVenus-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598342,GSM3690874,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 09,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690874,I15-1392-12,"Fear Conditioned\, dVenus-",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,Fear Conditioned
SRR8809630,RNA-Seq,51,1597185666,PRJNA529794,SAMN11284686,723694352,dVenus+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598343,GSM3690875,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 15,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690875,I16-1315-03,"HomeCage\, dVenus+",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,HomeCage
SRR8809631,RNA-Seq,51,796522998,PRJNA529794,SAMN11284685,358982899,dVenus+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598344,GSM3690876,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 16,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690876,I16-1315-05,"HomeCage\, dVenus+",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,HomeCage
SRR8809632,RNA-Seq,51,3030407607,PRJNA529794,SAMN11284684,1358591198,dVenus+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598345,GSM3690877,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 17,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690877,I16-1315-07,"HomeCage\, dVenus+",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,HomeCage
SRR8809633,RNA-Seq,51,1963292736,PRJNA529794,SAMN11284683,885276790,dVenus-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598346,GSM3690878,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 15,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690878,I16-1315-04,"HomeCage\, dVenus-",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,HomeCage
SRR8809634,RNA-Seq,51,1365408414,PRJNA529794,SAMN11284682,616742132,dVenus-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598347,GSM3690879,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 16,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690879,I16-1315-06,"HomeCage\, dVenus-",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,HomeCage
SRR8809635,RNA-Seq,51,790132392,PRJNA529794,SAMN11284699,356104795,dVenus-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598348,GSM3690880,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 17,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690880,I16-1315-08,"HomeCage\, dVenus-",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,HomeCage
SRR8809636,RNA-Seq,51,849522606,PRJNA529794,SAMN11284698,383381356,dVenus+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598349,GSM3690881,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 18,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690881,I16-1315-09,"Non Shock\, dVenus+",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,Non Shock
SRR8809637,RNA-Seq,51,1176100392,PRJNA529794,SAMN11284697,544957810,dVenus+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598350,GSM3690882,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 19,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690882,I16-1315-11,"Non Shock\, dVenus+",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,Non Shock
SRR8809638,RNA-Seq,51,1162117518,PRJNA529794,SAMN11284696,526456123,dVenus+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598351,GSM3690883,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 20,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690883,I16-1315-13,"Non Shock\, dVenus+",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,Non Shock
SRR8809639,RNA-Seq,51,1362624120,PRJNA529794,SAMN11284695,622358941,dVenus+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598352,GSM3690884,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 21,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690884,I16-1315-15,"Non Shock\, dVenus+",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,Non Shock
SRR8809640,RNA-Seq,51,1021072377,PRJNA529794,SAMN11284694,467806380,dVenus-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598353,GSM3690885,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 18,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690885,I16-1315-10,"Non Shock\, dVenus-",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,Non Shock
SRR8809641,RNA-Seq,51,1012068888,PRJNA529794,SAMN11284693,458053479,dVenus-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598354,GSM3690886,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 19,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690886,I16-1315-12,"Non Shock\, dVenus-",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,Non Shock
SRR8809642,RNA-Seq,51,1138443267,PRJNA529794,SAMN11284692,522969265,dVenus-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598355,GSM3690887,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 20,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690887,I16-1315-14,"Non Shock\, dVenus-",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,Non Shock
SRR8809643,RNA-Seq,51,798061566,PRJNA529794,SAMN11284691,360148008,dVenus-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5598356,GSM3690888,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,MouseNr 21,Mus musculus,ILLUMINA,2019-04-01T00:00:00Z,GSM3690888,I16-1315-16,"Non Shock\, dVenus-",SRP189843,C57BL/6J,Hippocampal Dentate Gyrus granule neurons,Non Shock
